stage,winner_rider_number,name,avatar_url,photo_url,official_url
1,63,Rohan DENNIS,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/63.jpg,http://www.letour.fr/PHOTOS/TDF/2015/100/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-1.html
2,75,André GREIPEL,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/75.jpg,http://www.letour.fr/PHOTOS/TDF/2015/200/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-2.html
3,91,Joachim RODRIGUEZ OLIVER,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/91.jpg,http://www.letour.fr/PHOTOS/TDF/2015/300/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-3.html
4,114,Tony MARTIN,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/114.jpg,http://www.letour.fr/PHOTOS/TDF/2015/400/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-4.html
5,75,André GREIPEL,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/75.jpg,http://www.letour.fr/PHOTOS/TDF/2015/500/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-5.html
6,116,Zdenek STYBAR,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/116.jpg,http://www.letour.fr/PHOTOS/TDF/2015/600/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-6.html
7,112,Mark CAVENDISH,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/112.jpg,http://www.letour.fr/PHOTOS/TDF/2015/700/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-7.html
8,19,Alexis VUILLERMOZ,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/19.jpg,http://www.letour.fr/PHOTOS/TDF/2015/800/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-8.html
9,61,BMC RACING TEAM,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/61.jpg,http://www.letour.fr/PHOTOS/TDF/2015/900/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-9.html
10,31,Christopher FROOME,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/31.jpg,http://www.letour.fr/PHOTOS/TDF/2015/1000/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-10.html
11,45,Rafal MAJKA,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/45.jpg,http://www.letour.fr/PHOTOS/TDF/2015/1100/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-11.html
12,91,Joachim RODRIGUEZ OLIVER,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/91.jpg,http://www.letour.fr/PHOTOS/TDF/2015/1200/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-12.html
13,68,Greg VAN AVERMAET,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/68.jpg,http://www.letour.fr/PHOTOS/TDF/2015/1300/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-13.html
14,212,Stephen CUMMINGS,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/212.jpg,http://www.letour.fr/PHOTOS/TDF/2015/1400/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-14.html
15,75,André GREIPEL,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/75.jpg,http://www.letour.fr/PHOTOS/TDF/2015/1500/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-15.html
16,156,Ruben PLAZA MOLINA,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/156.jpg,http://www.letour.fr/PHOTOS/TDF/2015/1600/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-16.html
17,86,Simon GESCHKE,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/86.jpg,http://www.letour.fr/PHOTOS/TDF/2015/1700/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-17.html
18,12,Romain BARDET,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/12.jpg,http://www.letour.fr/PHOTOS/TDF/2015/1800/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-18.html
19,1,Vincenzo NIBALI,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/1.jpg,http://www.letour.fr/PHOTOS/TDF/2015/1900/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-19.html
20,21,Thibaut PINOT,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/21.jpg,http://www.letour.fr/PHOTOS/TDF/2015/2000/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-20.html
21,75,André GREIPEL,http://www.letour.fr/PHOTOS/TDF/2015/RIDERS/75.jpg,http://www.letour.fr/PHOTOS/TDF/2015/2100/header/DIR_IMG.jpg,http://www.letour.fr/le-tour/2015/us/stage-21.html